Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Gm44423	NA	NA	NA	NA	NA	Gm43768	NA	NA	NA	NA	NA	NA	NA	NA	Gm16028	NA	NA	NA	NA	NA	NA	NA	NA	Gm42702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44950	NA	NA	NA	NA	NA	Gm43359	NA	NA	NA	NA	NA	NA	NA	NA	4921534H16Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45053	NA	NA	NA	NA	NA	Gm43379	NA	NA	NA	NA	NA	NA	NA	NA	Gm9550	NA	NA	NA	NA	NA	NA	NA	NA	Gm42604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm9768	NA	NA	NA	NA	NA	Gm43200	NA	NA	NA	NA	NA	NA	NA	NA	Gm5459	NA	NA	NA	NA	NA	NA	NA	NA	Gm42841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44510	NA	NA	NA	NA	NA	Gm42436	NA	NA	NA	NA	NA	NA	NA	NA	Gm5174	NA	NA	NA	NA	NA	NA	NA	NA	Gm43178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AV356131	NA	NA	NA	NA	NA	E430021H15Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm2822	NA	NA	NA	NA	NA	NA	NA	NA	Gm43389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44949	NA	NA	NA	NA	NA	Gm43540	NA	NA	NA	NA	NA	NA	NA	NA	Gm17096	NA	NA	NA	NA	NA	NA	NA	NA	Gm42895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44616	NA	NA	NA	NA	NA	Gm43080	NA	NA	NA	NA	NA	NA	NA	NA	Gm17076	NA	NA	NA	NA	NA	NA	NA	NA	Gm42648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45838	NA	NA	NA	NA	NA	Gm43462	NA	NA	NA	NA	NA	NA	NA	NA	Gm4675	NA	NA	NA	NA	NA	NA	NA	NA	Gm43792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm49493	NA	NA	NA	NA	NA	Gm43300	NA	NA	NA	NA	NA	NA	NA	NA	Gm8323	NA	NA	NA	NA	NA	NA	NA	NA	Gm43499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E230020D15Rik	NA	NA	NA	NA	NA	4633401B06Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm8379	NA	NA	NA	NA	NA	NA	NA	NA	Ube2n-ps1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44901	NA	NA	NA	NA	NA	Gm42725	NA	NA	NA	NA	NA	NA	NA	NA	Vmn2r-ps69	NA	NA	NA	NA	NA	NA	NA	NA	1810017P11Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45221	NA	NA	NA	NA	NA	Gm42615	NA	NA	NA	NA	NA	NA	NA	NA	D630036H23Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm7463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm31024	NA	NA	NA	NA	NA	Gm42611	NA	NA	NA	NA	NA	NA	NA	NA	5830462I19Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44812	NA	NA	NA	NA	NA	Gm42659	NA	NA	NA	NA	NA	NA	NA	NA	Gm4219	NA	NA	NA	NA	NA	NA	NA	NA	Dancr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4833411C07Rik	NA	NA	NA	NA	NA	Gm43328	NA	NA	NA	NA	NA	NA	NA	NA	Gm6455	NA	NA	NA	NA	NA	NA	NA	NA	Gm43843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm36371	NA	NA	NA	NA	NA	Gm42876	NA	NA	NA	NA	NA	NA	NA	NA	Gm17195	NA	NA	NA	NA	NA	NA	NA	NA	5930430L01Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4930431P19Rik	NA	NA	NA	NA	NA	Gm43737	NA	NA	NA	NA	NA	NA	NA	NA	Gm6811	NA	NA	NA	NA	NA	NA	NA	NA	N4bp2os	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44829	NA	NA	NA	NA	NA	Gm43753	NA	NA	NA	NA	NA	NA	NA	NA	Srsx	NA	NA	NA	NA	NA	NA	NA	NA	Gm43481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45137	NA	NA	NA	NA	NA	Gm42872	NA	NA	NA	NA	NA	NA	NA	NA	Gm4707	NA	NA	NA	NA	NA	NA	NA	NA	6720475M21Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45104	NA	NA	NA	NA	NA	Gm42819	NA	NA	NA	NA	NA	NA	NA	NA	A830073O21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm43274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem147os	NA	NA	NA	NA	NA	Gm43605	NA	NA	NA	NA	NA	NA	NA	NA	Gm2108	NA	NA	NA	NA	NA	NA	NA	NA	Gm42986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45112	NA	NA	NA	NA	NA	C430019N01Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm3294	NA	NA	NA	NA	NA	NA	NA	NA	1110006O24Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44550	NA	NA	NA	NA	NA	Gm43654	NA	NA	NA	NA	NA	NA	NA	NA	Vmn2r-ps38	NA	NA	NA	NA	NA	NA	NA	NA	Gm6598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45718	NA	NA	NA	NA	NA	Gm43256	NA	NA	NA	NA	NA	NA	NA	NA	Gm20515	NA	NA	NA	NA	NA	NA	NA	NA	Gm43747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44667	NA	NA	NA	NA	NA	Gm43466	NA	NA	NA	NA	NA	NA	NA	NA	Gm3585	NA	NA	NA	NA	NA	NA	NA	NA	Gm43268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3110080E11Rik	NA	NA	NA	NA	NA	Gm43329	NA	NA	NA	NA	NA	NA	NA	NA	Gm8752	NA	NA	NA	NA	NA	NA	NA	NA	Gm43312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45342	NA	NA	NA	NA	NA	Gm43258	NA	NA	NA	NA	NA	NA	NA	NA	Gm3563	NA	NA	NA	NA	NA	NA	NA	NA	Gm43775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45809	NA	NA	NA	NA	NA	Wdr46-ps	NA	NA	NA	NA	NA	NA	NA	NA	BB365896	NA	NA	NA	NA	NA	NA	NA	NA	Gm43323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45464	NA	NA	NA	NA	NA	Gm43189	NA	NA	NA	NA	NA	NA	NA	NA	A930015D03Rik	NA	NA	NA	NA	NA	NA	NA	NA	4732416N19Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45605	NA	NA	NA	NA	NA	Gm43260	NA	NA	NA	NA	NA	NA	NA	NA	Gm18360	NA	NA	NA	NA	NA	NA	NA	NA	Gm44421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45322	NA	NA	NA	NA	NA	Gm43544	NA	NA	NA	NA	NA	NA	NA	NA	Vmn2r-ps53	NA	NA	NA	NA	NA	NA	NA	NA	Gm44291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45501	NA	NA	NA	NA	NA	Gm43679	NA	NA	NA	NA	NA	NA	NA	NA	Gm20429	NA	NA	NA	NA	NA	NA	NA	NA	Gm43961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4930412F12Rik	NA	NA	NA	NA	NA	Gm43254	NA	NA	NA	NA	NA	NA	NA	NA	Gm18294	NA	NA	NA	NA	NA	NA	NA	NA	Gm44193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45250	NA	NA	NA	NA	NA	Gm43360	NA	NA	NA	NA	NA	NA	NA	NA	Gm20646	NA	NA	NA	NA	NA	NA	NA	NA	Gm44283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm38947	NA	NA	NA	NA	NA	2810428J06Rik	NA	NA	NA	NA	NA	NA	NA	NA	Vmn1r-ps152	NA	NA	NA	NA	NA	NA	NA	NA	Gm44117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm36445	NA	NA	NA	NA	NA	Gm43672	NA	NA	NA	NA	NA	NA	NA	NA	Six3os1	NA	NA	NA	NA	NA	NA	NA	NA	Gm44005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45457	NA	NA	NA	NA	NA	Gm42929	NA	NA	NA	NA	NA	NA	NA	NA	Vmn1r-ps48	NA	NA	NA	NA	NA	NA	NA	NA	Gm44220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zbed5-ps	NA	NA	NA	NA	NA	Gm42940	NA	NA	NA	NA	NA	NA	NA	NA	Gm20625	NA	NA	NA	NA	NA	NA	NA	NA	Gm44386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45694	NA	NA	NA	NA	NA	Gm43545	NA	NA	NA	NA	NA	NA	NA	NA	Vmn2r-ps133	NA	NA	NA	NA	NA	NA	NA	NA	Gm44022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm32856	NA	NA	NA	NA	NA	Gm4332	NA	NA	NA	NA	NA	NA	NA	NA	Vmn1r-ps19	NA	NA	NA	NA	NA	NA	NA	NA	Gm43946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45853	NA	NA	NA	NA	NA	Gm42860	NA	NA	NA	NA	NA	NA	NA	NA	Gm7584	NA	NA	NA	NA	NA	NA	NA	NA	Gm44037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47508	NA	NA	NA	NA	NA	Gm42892	NA	NA	NA	NA	NA	NA	NA	NA	Gm20633	NA	NA	NA	NA	NA	NA	NA	NA	Gm44321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm46218	NA	NA	NA	NA	NA	Gm43609	NA	NA	NA	NA	NA	NA	NA	NA	Vmn1r-ps49	NA	NA	NA	NA	NA	NA	NA	NA	Gm44126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm9856	NA	NA	NA	NA	NA	Gm42664	NA	NA	NA	NA	NA	NA	NA	NA	B130034C11Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm45083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47204	NA	NA	NA	NA	NA	Gm43571	NA	NA	NA	NA	NA	NA	NA	NA	4933438K21Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm44434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48714	NA	NA	NA	NA	NA	Gm43430	NA	NA	NA	NA	NA	NA	NA	NA	Gm7171	NA	NA	NA	NA	NA	NA	NA	NA	Gm45769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E030022I16Rik	NA	NA	NA	NA	NA	Gm43484	NA	NA	NA	NA	NA	NA	NA	NA	Gm20655	NA	NA	NA	NA	NA	NA	NA	NA	Gm5112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47140	NA	NA	NA	NA	NA	Gm42717	NA	NA	NA	NA	NA	NA	NA	NA	Gm18416	NA	NA	NA	NA	NA	NA	NA	NA	Gm44027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm30015	NA	NA	NA	NA	NA	C230096K16Rik	NA	NA	NA	NA	NA	NA	NA	NA	Vmn2r-ps9	NA	NA	NA	NA	NA	NA	NA	NA	Gm44021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm49759	NA	NA	NA	NA	NA	Gm19409	NA	NA	NA	NA	NA	NA	NA	NA	Gm3896	NA	NA	NA	NA	NA	NA	NA	NA	B130021K23Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47652	NA	NA	NA	NA	NA	Gm42658	NA	NA	NA	NA	NA	NA	NA	NA	Gm4425	NA	NA	NA	NA	NA	NA	NA	NA	Gm43953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47483	NA	NA	NA	NA	NA	Gm43593	NA	NA	NA	NA	NA	NA	NA	NA	Gm19967	NA	NA	NA	NA	NA	NA	NA	NA	9530086O07Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47962	NA	NA	NA	NA	NA	Gm43848	NA	NA	NA	NA	NA	NA	NA	NA	Gm5117	NA	NA	NA	NA	NA	NA	NA	NA	Gm7932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm7435	NA	NA	NA	NA	NA	Gm43330	NA	NA	NA	NA	NA	NA	NA	NA	Gm5784	NA	NA	NA	NA	NA	NA	NA	NA	1810059H22Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47218	NA	NA	NA	NA	NA	9530097N15Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm9866	NA	NA	NA	NA	NA	NA	NA	NA	Gm43923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9530018F02Rik	NA	NA	NA	NA	NA	Gm43259	NA	NA	NA	NA	NA	NA	NA	NA	Gm21847	NA	NA	NA	NA	NA	NA	NA	NA	Gm44190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D630033A02Rik	NA	NA	NA	NA	NA	Gm42702	NA	NA	NA	NA	NA	NA	NA	NA	Pramel39	NA	NA	NA	NA	NA	NA	NA	NA	Gm45170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm30025	NA	NA	NA	NA	NA	Gm43011	NA	NA	NA	NA	NA	NA	NA	NA	Gm6605	NA	NA	NA	NA	NA	NA	NA	NA	Gm44950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A830082N09Rik	NA	NA	NA	NA	NA	Gm42446	NA	NA	NA	NA	NA	NA	NA	NA	Gvin-ps3	NA	NA	NA	NA	NA	NA	NA	NA	Gm45206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48226	NA	NA	NA	NA	NA	Gm43056	NA	NA	NA	NA	NA	NA	NA	NA	Gm2310	NA	NA	NA	NA	NA	NA	NA	NA	Gm42375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm30122	NA	NA	NA	NA	NA	Gm43410	NA	NA	NA	NA	NA	NA	NA	NA	Gm21891	NA	NA	NA	NA	NA	NA	NA	NA	Gm45203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47738	NA	NA	NA	NA	NA	Gm43178	NA	NA	NA	NA	NA	NA	NA	NA	Gm13237	NA	NA	NA	NA	NA	NA	NA	NA	Gm45828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm36283	NA	NA	NA	NA	NA	Gm43813	NA	NA	NA	NA	NA	NA	NA	NA	6030469F06Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm44949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1300014J16Rik	NA	NA	NA	NA	NA	Gm43176	NA	NA	NA	NA	NA	NA	NA	NA	Gm7742	NA	NA	NA	NA	NA	NA	NA	NA	Gm44672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47096	NA	NA	NA	NA	NA	Gm43389	NA	NA	NA	NA	NA	NA	NA	NA	Gm13104	NA	NA	NA	NA	NA	NA	NA	NA	Gm44553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47626	NA	NA	NA	NA	NA	Gm42895	NA	NA	NA	NA	NA	NA	NA	NA	Gm5472	NA	NA	NA	NA	NA	NA	NA	NA	Gm45838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47164	NA	NA	NA	NA	NA	Gm43457	NA	NA	NA	NA	NA	NA	NA	NA	Gm2877	NA	NA	NA	NA	NA	NA	NA	NA	Gm45792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A730063M14Rik	NA	NA	NA	NA	NA	Gm42648	NA	NA	NA	NA	NA	NA	NA	NA	Gm10097	NA	NA	NA	NA	NA	NA	NA	NA	E230020D15Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4921516A02Rik	NA	NA	NA	NA	NA	Gm42546	NA	NA	NA	NA	NA	NA	NA	NA	Gm17308	NA	NA	NA	NA	NA	NA	NA	NA	Gm44901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47739	NA	NA	NA	NA	NA	Gm42798	NA	NA	NA	NA	NA	NA	NA	NA	Gm26658	NA	NA	NA	NA	NA	NA	NA	NA	Gm45221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm31793	NA	NA	NA	NA	NA	Gm43792	NA	NA	NA	NA	NA	NA	NA	NA	E230013L22Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm31024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47036	NA	NA	NA	NA	NA	Gm43499	NA	NA	NA	NA	NA	NA	NA	NA	4930509G22Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm35842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E430024I08Rik	NA	NA	NA	NA	NA	Gm42467	NA	NA	NA	NA	NA	NA	NA	NA	A230028O05Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm45084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48417	NA	NA	NA	NA	NA	Gm43482	NA	NA	NA	NA	NA	NA	NA	NA	Gm10827	NA	NA	NA	NA	NA	NA	NA	NA	Gm39079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47467	NA	NA	NA	NA	NA	Gm43498	NA	NA	NA	NA	NA	NA	NA	NA	Gm26789	NA	NA	NA	NA	NA	NA	NA	NA	Gm36371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48063	NA	NA	NA	NA	NA	Gm43533	NA	NA	NA	NA	NA	NA	NA	NA	Gm26787	NA	NA	NA	NA	NA	NA	NA	NA	4930431P19Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47457	NA	NA	NA	NA	NA	Gm43844	NA	NA	NA	NA	NA	NA	NA	NA	Gm4651	NA	NA	NA	NA	NA	NA	NA	NA	Gm44829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D230049E03Rik	NA	NA	NA	NA	NA	Gm43681	NA	NA	NA	NA	NA	NA	NA	NA	Gm26707	NA	NA	NA	NA	NA	NA	NA	NA	Gm45137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47260	NA	NA	NA	NA	NA	Gm20186	NA	NA	NA	NA	NA	NA	NA	NA	Gm26692	NA	NA	NA	NA	NA	NA	NA	NA	Gm45104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48111	NA	NA	NA	NA	NA	Gm42930	NA	NA	NA	NA	NA	NA	NA	NA	Gm4419	NA	NA	NA	NA	NA	NA	NA	NA	Gm44699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48365	NA	NA	NA	NA	NA	Dancr	NA	NA	NA	NA	NA	NA	NA	NA	Gm26760	NA	NA	NA	NA	NA	NA	NA	NA	Gm45222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm46404	NA	NA	NA	NA	NA	5930430L01Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm26604	NA	NA	NA	NA	NA	NA	NA	NA	Gm44667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
